towerid;Latitudine;Longitudine;active;eNb;seNb;status;type;Nomesito;contributo;Bande
WVXQHVCDAW;44.416874;8.930912;Attivo;102001;Non presente;Non verificato;0;   Genova;SYSTEM;~B20~
VRJMJJSTCD;44.394358;8.975465;Attivo;102002;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
MVCTXUARLB;44.3925143;8.96858766;Attivo;102006;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
IBSWOGWYQP;44.397507;8.979811;Attivo;102007;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
IBIBPERNPX;44.4078445;8.95897262;Attivo;102008;Non presente;Non verificato;0;Genova;SYSTEM;~B20~~B7~
XBAUOXEMJD;44.4071316;8.94344466;Attivo;102009;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
NIISVBTOFR;44.413181;8.92428266;Attivo;102010;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
YFEMUOFUEO;44.4095733;8.934182;Attivo;102011;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
EPHRHSRJJX;44.4111633;8.97036133;Attivo;102012;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
UXKPXJMQQY;44.4259355;8.9528665;Attivo;102013;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
VUKFIMGHHV;44.4003936;8.94640333;Attivo;102014;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
FARKKMQFCC;44.4141366;8.92105633;Attivo;102015;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
CEJTNPJVHG;44.4086752;8.92068725;Attivo;102016;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
VBEEMTGOGQ;44.4194626;8.91436333;Attivo;102017;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
CTXVYDWJXO;44.4238666;8.88883333;Attivo;102018;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
IUPPNCVLKU;44.431951;8.891229;Attivo;102019;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
VVPRUGQXST;44.4202568;8.85231016;Attivo;102020;Non presente;Non verificato;0;Genova;SYSTEM;~B20~~B7~
GLYDJRHJRM;44.430492;8.854612;Attivo;102021;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
LXSQUSNANL;44.4151197;8.887095;Attivo;102022;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
KWJXMKIGGN;44.410618;8.9063945;Attivo;102023;Non presente;Non verificato;0;   Genova;SYSTEM;~B20~
XGGFVHLRGY;44.4041443;8.98040766;Attivo;102025;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
DGVGOCQPUL;44.3940043;8.98427;Attivo;102026;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
GVTNIQHAXU;44.406861;8.97384233;Attivo;102027;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
PUWTKLPTRF;44.4113913;8.92851166;Attivo;102028;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
TQRATXMYRQ;44.4067803;8.937953;Attivo;102029;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
JLWHTMQCUP;44.401874;8.9354645;Attivo;102030;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
BNIRELDJGR;44.4057965;8.9469565;Attivo;102031;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
